n	date	hash	files	ins	del	A	M	D	R	areas	subject	body
201	2026-07-10T20:46	962bfdd9	16	1883	94	9	7	0	0	CLAUDE.md,Notations.md,gbp,pyproject.toml,tests	Implement SARIMAX and Seasonal Naive models for demand forecasting	- Added `SarimaxTotalModel` class for SARIMAX-based forecasting on city-level total series, including methods for fitting, predicting, saving, and loading the model. ⏎ - Introduced `SeasonalNaiveModel` class to implement a seasonal naive forecasting approach, utilizing precomputed hour-of-week means. ⏎ - Enhanced training data loading with `load_training_table` function to optimize memory usage by converting float columns to `float32` and categorizing ID columns. ⏎ - Updated `pyproject.toml` to include new dependencies for LightGBM, Statsmodels, MLflow, and PyTorch. ⏎ - Expanded test suite in `test_forecast.py` to cover new model implementations and ensure correct functionality. ⏎ - Created `test_ml_models.py` to comprehensively test model interfaces, fitting, prediction, and metrics across different model families.
202	2026-07-11T12:30	d4843958	8	685	8	3	5	0	0	CLAUDE.md,Notations.md,app,docs,gbp,tests	feat: Implement two-level evaluation for demand models and add evaluation script	
203	2026-07-11T13:15	b3fba891	6	167	158	0	6	0	0	Notations.md,app,docs,gbp,tests	feat: Enhance two-level evaluation by implementing replay-state forecast runs and updating evaluation scripts	
204	2026-07-11T17:06	94cc6a96	12	1290	28	3	9	0	0	CLAUDE.md,Notations.md,data,docs,gbp,tests	Implement retraining pipeline and model registry	- Added a new pipeline module (`gbp/ml/pipeline.py`) to manage the retraining process, including steps for downloading data, building training tables, training models, backtesting, and promoting models based on performance. ⏎ - Introduced a model registry module (`gbp/ml/registry.py`) to handle model versioning, champion promotion, and retrieval of models from the registry. ⏎ - Enhanced the model loading functionality in `gbp/ml/models/__init__.py` with a new `load_model` function to retrieve trained models from the registry. ⏎ - Created comprehensive tests for the model registry and pipeline functionalities in `tests/test_ml_registry.py`, ensuring end-to-end validation of the retraining process.
205	2026-07-11T17:47	7683e893	8	931	2	3	5	0	0	CLAUDE.md,Notations.md,app,docs,gbp,pyproject.toml,tests	feat: add model monitoring page with metrics and drift reports	- Introduced a new page for model monitoring in the Streamlit app. ⏎ - Implemented functionality to load and display model metrics history, including MAE, Poisson deviance, and bias. ⏎ - Added visualizations for metrics over time, highlighting degraded months based on rolling MAE. ⏎ - Created a drift report feature that compares current feature distributions against historical training data using Evidently. ⏎ - Updated documentation to reflect the new monitoring capabilities and usage instructions. ⏎ - Added tests to ensure the correctness of the monitoring functionality, including scoring forecasts and generating drift reports.
206	2026-07-11T18:00	a4098c7b	4	200	1	2	2	0	0	.github,docs,pyproject.toml,tests	feat: add CI workflow and smoke tests for training and retraining pipeline	
207	2026-07-11T18:03	7ff0ba6a	1	2	1	0	1	0	0	pyproject.toml	fix: update plotly dependency to be compatible with evidently requirements	
208	2026-07-11T18:11	7c37c065	1	1	1	0	1	0	0	pyproject.toml	fix: update mypy python version to 3.13	
209	2026-07-11T19:08	83120194	1	486	0	1	0	0	0	docs	feat: add architecture review document outlining codebase improvements	
210	2026-07-11T19:28	60bfea3f	4	62	41	0	4	0	0	Notations.md,gbp	refactor: streamline inventory handling in phases and state management	
211	2026-07-11T19:48	c11ff99d	10	159	172	0	10	0	0	Notations.md,docs,gbp,tests	refactor: replace phase_rank_by_timing with stamp_history_ordering in historical loader	
212	2026-07-11T20:13	17c14b77	14	160	64	1	13	0	0	Notations.md,docs,gbp,tests	feat: introduce ScenarioInputs contract for simulator input tables	
213	2026-07-11T20:34	7979feb7	7	154	98	0	7	0	0	Notations.md,app,gbp	feat: enhance forecasting functionality with month period grid integration	
214	2026-07-11T22:44	8ea98f63	8	157	97	0	8	0	0	Notations.md,gbp,tests	feat: implement shared naive month forecast and integrate into backtest and monitoring	
215	2026-07-11T23:00	b3b48bf0	10	344	325	0	10	0	0	Notations.md,gbp,tests	Refactor MLflow integration with MlflowStore class	- Introduced MlflowStore class to encapsulate MLflow tracking and registry operations. ⏎ - Updated backtest, pipeline, and monitoring modules to utilize the new MlflowStore class. ⏎ - Removed direct MLflow calls and replaced them with methods from MlflowStore. ⏎ - Simplified the process of configuring MLflow tracking and managing experiments. ⏎ - Enhanced readability and maintainability of the code by centralizing MLflow logic. ⏎ - Updated tests to reflect changes in the MLflow integration, ensuring compatibility with the new structure.
216	2026-07-11T23:15	7b4385a2	10	358	179	1	9	0	0	app,docs,tests	feat: implement backend selection for local and API runs, refactor related components	
217	2026-07-11T23:34	756a6ec6	7	183	88	0	7	0	0	Notations.md,app,docs,tests	feat: implement save_scenario_run function to streamline run artifact saving and enhance meta.json with sized state	
218	2026-07-11T23:49	525fd630	7	166	47	0	7	0	0	app,tests	feat: refactor artifact path handling and enhance metric definitions for clarity	
219	2026-07-12T00:08	c9383e2b	12	231	223	0	12	0	0	Notations.md,docs,gbp	feat: enhance documentation and refactor inventory handling for clarity and consistency	
220	2026-07-12T01:04	99ff8088	6	242	37	0	6	0	0	docs	feat: enhance API and documentation to support forecast demand runs and improve clarity on run parameters	
221	2026-07-12T22:49	f907f5f4	5	58	650	1	1	3	0	app,other_staff,tests	feat: add tests for run_scenario wiring to ensure forecast data is preserved during rebalancing	
222	2026-07-12T23:24	72ecbe16	11	496	26	1	10	0	0	app,gbp,notebooks,pyproject.toml	Add structlog dependency to pyproject.toml	
223	2026-07-13T14:22	a9cdbf01	10	863	77	1	9	0	0	Notations.md,app,docs,gbp,tests	Refactor ML monitoring and forecasting logic	- Updated drift report to compare only weather and demand-history columns, excluding calendar columns to avoid false positives. ⏎ - Introduced DRIFT_COLUMNS and DRIFT_NUM_THRESHOLD constants for clarity and configurability. ⏎ - Adjusted the drift report function to utilize new constants and improved distance measurement logic. ⏎ - Enhanced test coverage for forecasting scenarios, ensuring demand cuts are recorded correctly and dropped shares are handled. ⏎ - Added comprehensive documentation for the ML components, detailing the data flow, model families, and evaluation processes.
224	2026-07-13T20:14	09b83a10	53	1803	8309	10	25	17	0	AGENTS.md,CLAUDE.md,PROJECT.md,README.md,app,docs,gbp	Add documentation for new features and improve existing content	- Created new how-to guides for adding tables to run artifacts, changing demand, debugging invariant violations, and running on forecasts. ⏎ - Developed a comprehensive plan for reworking documentation to enhance clarity and usability. ⏎ - Updated simulator configuration to enforce stricter validation rules for run parameters. ⏎ - Enhanced phase documentation to clarify the execution order and conditions. ⏎ - Improved comments and docstrings across various modules for better understanding of functionality. ⏎ - Added checks for malformed data in the rebalancing phase and clarified the handling of empty plans. ⏎ - Refined the demand forecasting module's documentation to outline the process and structure clearly.
225	2026-07-13T22:46	5a57f51d	24	881	999	2	22	0	0	Notations.md,app,docs,gbp,tests	Refactor data loading and month handling	- Moved month_bounds and normalize_month functions from gbp.ml.data to gbp.loaders.download for better organization. ⏎ - Updated imports across multiple modules to reflect the new location of month_bounds and normalize_month. ⏎ - Removed deprecated functions and comments from gbp.ml.data, focusing on forecasting-specific helpers. ⏎ - Added comprehensive tests for the new download module, ensuring schema harmonization and month handling logic are intact. ⏎ - Adjusted existing tests to accommodate the refactor, ensuring all functionalities are covered.
226	2026-07-15T14:53	17f7b553	6	353	100	1	4	1	0	.claude,CLAUDE.md,Notations.md,README.md,docs,gbp	refactor: update project description to clarify framework purpose and scenario	
227	2026-07-15T15:06	f1da0c95	2	129	14	1	1	0	0	README.md,docs	refactor: enhance README with detailed project description and quick start guide	
228	2026-07-15T15:42	aa6a825c	31	105	105	0	21	0	10	CLAUDE.md,Notations.md,README.md,app,docs,gbp,notebooks,test	Add detailed documentation for scenarios and API	- Introduced a comprehensive guide for flow journal examples in `worked-examples.md`, covering various scenarios including stockouts, trips, redirects, and rebalancing. ⏎ - Added an API reference in `api.md`, detailing the HTTP service for accessing run artifacts, including endpoints, usage, and access control.
229	2026-07-15T15:55	a02595f0	2	179	169	0	2	0	0	docs	refactor: update README and README_ru for clarity and structure	
230	2026-07-15T16:03	daafed57	5	169	31	2	3	0	0	docs	refactor: enhance documentation with installation and UI usage guides	
231	2026-07-15T16:16	a4dbcf86	3	294	0	1	2	0	0	docs	docs: add detailed scenario description for Citi Bike in README and README_ru	
232	2026-07-15T16:28	859b063f	10	157	140	0	8	1	1	docs	refactor: update documentation for clarity and structure; remove concepts.md and add overview.md	
233	2026-07-15T16:37	641ae667	3	3	201	0	2	1	0	README.md,docs	docs: update README with environment activation instructions and remove outdated documentation	
234	2026-07-15T17:04	0b64c780	4	320	116	1	3	0	0	README.md,docs,tests	docs: update quickstart and installation documentation for clarity; add automated tests for quickstart script	
235	2026-07-15T21:38	a6ec5a79	16	716	271	1	15	0	0	Notations.md,app,docs,gbp,tests	Refactor run scenario handling and introduce RunRequest	- Replaced the dictionary-based request structure in `run_scenario` with a typed `RunRequest` dataclass for better clarity and type safety. ⏎ - Updated the API documentation to reflect the new `RunRequest` structure for the `POST /runs` endpoint. ⏎ - Enhanced the `apply_saved_forecast` function to streamline the process of applying saved forecasts to resolved model data. ⏎ - Improved test coverage for the new `RunRequest` structure, ensuring that all entry points and scenarios are properly validated and tested. ⏎ - Consolidated forecast handling logic to reduce redundancy and improve maintainability across the codebase.
236	2026-07-15T22:01	ac1cdee9	3	409	90	2	1	0	0	app,tests	feat: add evaluation comparison logic and corresponding tests	
237	2026-07-15T22:34	b9c64391	10	552	183	1	9	0	0	CLAUDE.md,gbp,tests	Enhance simulation engine with improved validation and modularization	- Updated CLAUDE.md with new coding principles emphasizing deep modules, minimalism, and strict typing. ⏎ - Modified EnvironmentConfig to clarify validation behavior and added documentation for invariants. ⏎ - Refactored the Environment class to store run violations without raising errors, allowing for more flexible error handling. ⏎ - Split the DockArrivals phase logic into a separate function for better testability and clarity. ⏎ - Introduced a new plan_rebalance function to encapsulate the rebalancing logic, improving modularity. ⏎ - Added apply_rebalance function to manage the execution of rebalancing events in a structured manner. ⏎ - Created direct tests for phase wiring to ensure the correct ordering of operations in the simulation. ⏎ - Enhanced validation logic to ensure demand scaling and period limits are respected, with corresponding tests to verify behavior.
238	2026-07-15T22:49	240eedcb	3	106	26	0	3	0	0	gbp	feat: implement canonical phase order and refactor phase handling in simulator	
239	2026-07-15T22:58	147c67dd	1	87	40	0	1	0	0	gbp	feat: implement _finish_forecast function to streamline forecast artifact generation	
240	2026-07-15T23:05	4a45bc6f	5	115	90	0	5	0	0	gbp,tests	feat: refactor backtest comparison logging and retrieval methods	
241	2026-07-15T23:14	8a3f6432	6	102	47	0	6	0	0	Notations.md,app,gbp	feat: introduce PeriodGrid class for consistent period management across modules	
242	2026-07-15T23:33	99ba6d03	14	171	118	0	14	0	0	gbp,tests	feat: implement scaled demand inputs for consistent demand scaling across simulation phases	
243	2026-07-15T23:50	72eb471c	9	164	125	0	9	0	0	gbp,tests	feat: introduce MlPaths class for centralized data path management across modules	
244	2026-07-16T14:06	fd04ecc7	52	410	5065	0	52	0	0	.claude,app,gbp	Refactor documentation in journal_schema.py and routing.py	- Simplified and condensed docstrings in journal_schema.py to focus on essential information about the Pandera schema and its validation functions. ⏎ - Updated routing.py docstrings to clarify the purpose of the Routes class and its methods, while removing redundant explanations about routing modes and parameters.
245	2026-07-16T14:26	c304b232	6	46	35	0	6	0	0	.claude	feat: update documentation references and improve clarity in various skills	
246	2026-07-16T15:09	530a11a1	3	82	16	1	2	0	0	app,gbp,tests	refactor: move the two evaluation metrics into gbp/ml/metrics.py	Move panel_departed_mae and the busy-share aggregation (now the named ⏎ lost_demand_busy_share) out of app/eval_comparison.py into gbp/ml/metrics.py, ⏎ next to forecast_metrics and busy_facility_ids they already lean on. Every ⏎ evaluation metric is now defined in one place; the comparison code calls them ⏎ and no metric math stays inlined in app/. Adds direct unit tests. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
247	2026-07-16T15:12	6ffe3fa1	5	119	89	2	3	0	0	app,gbp,tests	refactor: move the run recipe into gbp/consumers/run.py	Move RunRequest and the fleet/depot defaults (DEFAULT_TRUCK_HOMES, ⏎ DEFAULT_N_DEPOTS, DEPOT_IDS, DEFAULT_TRUCK_CAPACITY_BIKES, DEFAULT_TRUCK_RATE, ⏎ DEFAULT_NUMBER_OF_PERIODS, DEMAND_SOURCES) out of app/runner.py into the new ⏎ gbp/consumers/run.py, as one typed source. app/runner.py re-exports them and ⏎ keeps the orchestration and CLI for now; app/artifacts.py imports RunRequest ⏎ from gbp.consumers.run instead of app/runner. The recipe tests move to ⏎ tests/test_consumers_run.py, assertions unchanged. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
248	2026-07-16T15:15	9b396e81	24	767	15	13	10	0	1	.scratch,app,docs,gbp,tests	refactor: move the run-artifact builder into gbp/artifacts.py	Move app/artifacts.py whole (table builders, contracts, save/load, and the ⏎ data/runs/ path policy) into the new gbp/artifacts.py. The __file__-based ⏎ data dir and code_version resolve to the same repo root from gbp/, so the ⏎ saved artifact is byte-for-byte identical. save_scenario_run imports ⏎ RunRequest from gbp.consumers.run, so no gbp module imports app. Every app ⏎ caller (runner, backend, api, api_client, ui_shared, views, evaluate) now ⏎ reads the builder as 'from gbp import artifacts'; DiskBackend keeps its ⏎ pass-through delegate methods. The round-trip tests import from gbp.artifacts, ⏎ assertions unchanged. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
249	2026-07-16T15:20	650ad301	9	272	287	0	8	1	0	app,gbp,tests	refactor: move the run orchestration into gbp/consumers/run.py	Move build_graph_data, run_scenario, run_and_save, and DEFAULT_TRIPS_PATH out ⏎ of app/runner.py into gbp/consumers/run.py, alongside the recipe. app/runner.py ⏎ shrinks to the argparse main() that builds a RunRequest and calls the gbp run ⏎ path, so 'python app/runner.py' is unchanged. app/api.py, app/backend.py, and ⏎ the Run scenario page start runs through gbp.consumers.run; nothing in gbp ⏎ imports app. The run_scenario wiring tests move to tests/test_consumers_run.py ⏎ (patching gbp.consumers.run); test_app_runner.py is deleted. build_graph_data's ⏎ routing_mode is typed RoutingMode, an imprecision app/ never type-checked. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
250	2026-07-16T15:22	7729fa59	4	234	262	0	0	2	2	app,gbp,tests	refactor: move the evaluation cluster into gbp/ml/evaluation.py	Combine app/eval_comparison.py (EvalNames, ModelForecast, run_row, ⏎ build_comparison) and app/evaluate.py (evaluate_month, ensure_forecast, ⏎ _ensure_run, actual_demand_table, evaluation_dir, CLI) into the new ⏎ gbp/ml/evaluation.py. It calls run_and_save and the artifacts API, both now in ⏎ gbp, so the module imports no app. The terminal entry point becomes ⏎ 'python -m gbp.ml.evaluation --month ...', matching the other gbp.ml commands. ⏎ app/eval_comparison.py and app/evaluate.py are deleted; the evaluation tests ⏎ move to tests/test_ml_evaluation.py, assertions unchanged. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
251	2026-07-16T15:26	80281c1f	5	12	12	0	5	0	0	CLAUDE.md,Notations.md,docs	docs: point the canonical text at the new gbp homes	Notations §12 names gbp/artifacts.py everywhere it named app/artifacts.py; §16 ⏎ names run_scenario (gbp/consumers/run.py); the two-level evaluation entry and ⏎ the CLAUDE.md commands block use 'python -m gbp.ml.evaluation'; the CLAUDE.md UI ⏎ rule names gbp/artifacts.py. The rules are unchanged -- only the paths and one ⏎ command. Also swaps the now-deleted 'python app/evaluate.py' command in the ⏎ live user docs (scenarios, key-components) for the new module invocation. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
252	2026-07-16T15:34	1c0b25c2	7	32	29	0	7	0	0	docs	docs: update the architecture docs for the app -> gbp move	The code-review flagged that the key-component and reference docs still named ⏎ the moved code as app-side. Point them at the real homes: the overview module ⏎ table, both architecture diagrams, and its prose; the visualization code map; ⏎ data-model, flow-journal, ml-toolkit, api.md, and the how-to for adding an ⏎ artifact table. runner.py is now described as the thin CLI over the gbp run ⏎ path; the run path, the artifact builder, and the evaluation live in gbp/. ⏎  ⏎ Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic.com>
253	2026-07-16T23:21	cba81c5c	6	397	494	3	1	2	0	.claude,CLAUDE.md,explanation-diataxis-ru.md	feat: add write-explanation skill and explanation-diataxis reference documents	
254	2026-07-16T23:24	2ee646fb	1	2	2	0	1	0	0	CLAUDE.md	docs: clarify language guidelines and exceptions in CLAUDE.md	
255	2026-07-16T23:25	748715eb	1	0	118	0	0	1	0	explanation-diataxis-ru.md	chore: remove Russian explanation-diataxis document	
256	2026-07-16T23:44	4064b09d	5	344	519	1	3	1	0	docs	Add overview documentation and enhance data model explanations	- Introduced a new overview document detailing the framework's architecture and components using mermaid diagrams. ⏎ - Expanded the data model documentation to clarify the relationships between raw and resolved data, emphasizing the design decisions and their implications. ⏎ - Removed the outdated overview document from the key components section to streamline the documentation.
257	2026-07-16T23:52	f95deba9	1	153	0	1	0	0	0	docs	feat: add comprehensive overview documentation for the framework	
258	2026-07-17T14:54	52c2218a	5	204	2401	0	1	4	0	docs,notebooks	chore: keep one overview, remove stray notebooks	Pick one of the seven overview drafts as docs/key-components/overview.md ⏎ and delete the rest. Remove notebooks that serve neither canonical run ⏎ (check_pipeline, build_wild_inventory, flat_env) and the stray Untitled ⏎ file. docs/archive/overview.md stays archived. ⏎  ⏎ Co-Authored-By: Claude Fable 5 <noreply@anthropic.com>
259	2026-07-17T14:55	73cf78d8	1	209	0	1	0	0	0	docs	docs: add interview portfolio plan	Five phases: cleanup, research notebook, presentation scripts, minimal ⏎ Azure deploy, final pass. The positioning rule: platform idea first, ⏎ then "one domain implemented so far — Citi Bike", then the story is ⏎ told through that domain only. ⏎  ⏎ Co-Authored-By: Claude Fable 5 <noreply@anthropic.com>
260	2026-07-17T14:55	fe71e5b8	1	66	11	0	1	0	0	README.md	docs: rework README for a first-time reader	Opening paragraph follows the positioning rule (platform, one ⏎ implemented domain, expansion later). Add the central idea (forecasts ⏎ judged by operational cost through the simulator), an architecture ⏎ diagram, the three user roles with their entry points, and the ml ⏎ install extra. ⏎  ⏎ Co-Authored-By: Claude Fable 5 <noreply@anthropic.com>
261	2026-07-17T15:18	688ef366	2	1522	2	1	1	0	0	README.md,notebooks	Refactor code structure for improved readability and maintainability	
262	2026-07-17T15:52	52c099ad	2	826	0	2	0	0	0	docs	Добавлен сценарий 45-минутной презентации на русском языке для демонстрации платформы по задачам на графах потоков, включая описание проблемы, цифрового двойника, ребалансировки, прогнозирования спроса и операционного цикла.	
263	2026-07-24T11:14	43af81f4	296	12962	1	295	1	0	0	.claude,.github,docs	Add theme.toml for Hugo Book theme configuration	- Created a new theme.toml file for the Hugo Book theme. ⏎ - Included metadata such as name, license, description, homepage, demo site, tags, and author information. ⏎ - Set minimum Hugo version requirement to 0.158.0.
264	2026-07-24T11:25	4ee8dba8	1	5	4	0	1	0	0	.github	Update workflow to trigger on city_bike_mvp_accounting branch for site builds	
265	2026-07-24T11:52	2467009c	42	2740	76	8	12	0	22	.gitignore,Notations.md,docs,scripts	Add export script for Jupyter notebooks and update Hugo configuration	- Introduced `export_notebooks.py` to convert Jupyter notebooks into Hugo pages, creating a structured output in the scenario section. ⏎ - Added new image file `index_9_1.png` for documentation. ⏎ - Updated `hugo.toml` to include portable links and mount Notations.md as a reference glossary page.
266	2026-07-24T12:05	1c1acc67	8	87	540	0	4	4	0	README.md,docs	Refactor README and remove deprecated documentation files for clarity and organization	
267	2026-07-24T12:06	e8642c0f	1	10	11	0	1	0	0	docs	Update map.md to clarify out-of-scope items and remove unnecessary notes	
268	2026-07-24T12:18	039940ae	8	31	15	0	8	0	0	CLAUDE.md,Notations.md,app,tests	Update documentation paths to reflect new directory structure	
269	2026-07-24T12:22	0ad71c38	5	14	7	0	5	0	0	app,tests	Refactor API and test documentation for clarity and organization	
270	2026-07-30T15:07	912fea2a	33	86	4724	1	2	30	0	.claude,CLAUDE.md,docs	Delete obsolete tickets and reports related to the Wayfinder Hugo site project, including decisions on non-site folders, GitHub Pages deployment research, and the deploy pipeline setup. Remove architecture review and model evaluation reports from January 2026, as they are no longer relevant to the current documentation structure.	
271	2026-07-30T15:30	c0919aee	2	566	513	0	2	0	0	.claude,Notations.md	Refactor code structure for improved readability and maintainability	
272	2026-07-30T18:49	65dc9ed9	1	1	0	0	1	0	0	.gitignore	Add data/osrm/ to .gitignore to exclude OSRM data files from version control	
273	2026-07-30T18:56	04048853	1	2408	471	0	1	0	0	notebooks	Implement code changes to enhance functionality and improve performance	
274	2026-07-30T19:41	d89fe86b	51	722	764	4	42	2	3	app,docs,domains,gbp,notebooks,pyproject.toml,tests	Refactor package structure and update import paths	- Updated the `pyproject.toml` to include separate top-level packages for `gbp` and `domains`. ⏎ - Changed import paths in test files to reflect the new package structure, specifically moving from `gbp.loaders` to `domains.citybike.loaders` and updating references to `gbp.model`. ⏎ - Adjusted imports in various test files including `test_consumers_run.py`, `test_dataloader_raw.py`, `test_download.py`, `test_forecast.py`, `test_ml_features.py`, `test_ml_models.py`, `test_ml_monitoring.py`, `test_ml_smoke.py`, `test_ml_training.py`, and `test_rebalancing.py`.
275	2026-07-30T19:49	d3cc63e8	3	253	6	1	2	0	0	.github,CLAUDE.md,docs	Update CI workflow and documentation for domain restructuring	
276	2026-07-30T20:10	e2472e26	46	777	703	6	24	2	14	CLAUDE.md,app,docs,domains,gbp,tests	Refactor forecasting module and improve model architecture	- Moved the DemandModel interface to a new module (gbp/ml/model.py) for better organization. ⏎ - Removed the old model families initialization and replaced it with a dynamic registration system. ⏎ - Updated the metrics module to import DEMAND_KEYS from the new model module. ⏎ - Deleted outdated model family implementations from gbp/ml/models/base.py and gbp/ml/models/__init__.py. ⏎ - Refactored tests to accommodate the new structure, ensuring all tests pass with the updated model registration. ⏎ - Cleaned up unused functions and imports in various test files, enhancing code clarity and maintainability. ⏎ - Adjusted import paths in tests to reflect the new module structure under domains/citybike/ml.
277	2026-07-30T20:40	589c4343	19	369	174	2	17	0	0	CLAUDE.md,app,docs,domains,gbp,tests	Refactor Citi Bike integration into the run path	- Moved Citi Bike specific logic from `gbp.consumers.run` to `domains.citybike.run`. ⏎ - Updated `RunRequest` to include truck fleet parameters in the Citi Bike domain. ⏎ - Adjusted the rebalancing meta to include fleet details when applicable. ⏎ - Refactored `build_graph_data` and `run_scenario` to handle Citi Bike specifics. ⏎ - Modified relevant tests to ensure proper integration and functionality of the new structure. ⏎ - Updated documentation to reflect changes in the architecture and API.
278	2026-07-30T20:40	91bf68c5	1	0	246	0	0	1	0	docs	Remove split_gbp_ml.md plan document as it is no longer relevant	
